tu_id	speaker	start	end	duration	text
0	SP1	0.733	7.620	6.887	bene {P} allora {P} intanto {P} ero curiosa di sapere da quanto tempo c'è questo negozio perché
1	SP1	7.800	11.540	3.740	io sono di qui {P} e frequento un po' questa zona ma non l'avevo mai visto
2	SP2	11.820	12.960	1.140	no non [è così]
3	SP1	12.530	13.250	0.720	[strana]mente
4	SP2	13.300	15.920	2.620	questo negozio è già da ventidue anni
5	SP1	16.219	17.920	1.701	okay [quindi non è nuovo]
6	SP2	16.870	21.820	4.950	[sono qui da sei an]ni no no no questo qua non è nuovo di prima era una casa editrice vaesi
7	SP2	22.650	28.140	5.490	poi hanno:: <chiuso> allora:: già comprato un'altra persona e è fatta copisteria
8	SP1	28.300	28.600	0.300	okay
9	SP2	29.167	33.360	4.193	poi io sono da terza mano che: andando avanti
10	SP1	33.680	34.480	0.800	mhmh okay
11	SP1	34.860	43.050	8.190	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di via del guasto
12	SP2	43.190	43.550	0.360	sì
13	SP1	43.640	44.040	0.400	a chiedere
14	SP2	44.200	44.470	0.270	mh[mh]
15	SP1	44.340	47.090	2.750	[e] i ragazzi ci hanno detto che dovevamo assolutamente venire da te
16	SP2	47.360	54.787	7.427	beh e:h sì perché loro non è: non è m:h abbas- cioè loro non:: m:h loro sono bravi' ma non sono: bravi per
17	SP2	54.986	60.459	5.473	rispondere a un sacco di [doma]nde che: anche non sono bravi in italiano pro- in poche [parole sì]
18	SP1	56.110	56.520	0.410	[mh]
19	SP1	59.310	64.513	5.203	[okay quindi forse] forse il problema era quello [non] non abbiamo capito se erano preoccupati perché
20	SP2	61.570	61.920	0.350	[sì]
21	SP2	64.640	71.640	7.000	no non so- non è preoccupati però e:h lo sai che quando qualcuno che m:h non capisce cosa è la do[manda]
22	SP1	71.130	71.620	0.490	[mhmh]
23	SP2	71.840	78.410	6.570	e quale che è la ri- risposta che sta facendo in un'altra lingua che lui [non è a]bbastanza BRAVA
24	SP1	76.845	77.205	0.360	[°mhmh°]
25	SP2	78.520	81.500	2.980	allora è una [problema per-] {P} [per (cioè)] una persona no
26	SP1	79.270	79.730	0.460	[mhmh]
27	SP1	80.280	80.700	0.420	[mhmh]
28	SP1	81.600	82.730	1.130	[mhmh sì forse]
29	SP2	81.610	84.833	3.223	[°cioè° ecco per]ciò che: [x]
30	SP1	84.430	85.640	1.210	[for]se è stato per que[llo]
31	SP2	85.407	85.640	0.233	[sì]
32	SP1	85.970	88.150	2.180	e: stamattina noi siamo andate in
33	SP2	89.473	89.840	0.367	zo[na]
34	SP1	89.633	93.200	3.567	[prati]camente tutti i negozi di via san vitale [a chiedere]
35	SP2	92.420	99.720	7.300	[sì nessuno] che non ti ha detto che c'è sì perché hanno paura per: perché {P} non lo non si sa cosa succederà [°dopo°]
36	SP1	99.230	99.720	0.490	[mhmh mh]
37	SP1	99.960	103.180	3.220	infatti sì quindi vabbè ma noi [abbiamo provato ovviamente]
38	SP2	101.650	103.170	1.520	[sì assolutamente]
39	SP1	103.430	109.673	6.243	[e:hm invece] {P} tu vivi in italia da sempre? da alcuni anni: m:h?
40	SP2	103.440	104.300	0.860	[assolutamente]
41	SP2	109.420	110.933	1.513	[no] non è che da sempre
42	SP2	111.320	113.487	2.167	sì da circa quindici anni già passato
43	SP1	113.630	117.980	4.350	okay o[kay {P}] beh comun[que] eh parli beni- parli be[nissimo]
44	SP2	114.153	115.200	1.047	{ride} [(che sono qui)]
45	SP2	116.090	116.540	0.450	[sì]
46	SP2	117.640	119.180	1.540	[BEH] quindici anni eh
